record_id,youtube_id,status,source_card_rel,problems_supported,contradictions_or_limits,candidate_chapters,disposition,rationale,reviewed_at
jim-rohn-originals-no-ai/007-E-qYHYMdniM,E-qYHYMdniM,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/008-qSNhBZfsbIU,qSNhBZfsbIU,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/009-W8e403FML4I,W8e403FML4I,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/010-wS7b1I50F7Y,wS7b1I50F7Y,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/011-6aWlD3NhIfs,6aWlD3NhIfs,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/012-YF75cLE-6hI,YF75cLE-6hI,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/013-2-id_FOc09k,2-id_FOc09k,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/014-Mres4xDThPg,Mres4xDThPg,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/015-gljlCJFHNZ0,gljlCJFHNZ0,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/016-pUz06GHWWuM,pUz06GHWWuM,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/017-XY5nulJAIn4,XY5nulJAIn4,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/018-X9-PxHfCwVM,X9-PxHfCwVM,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/019-d8eA6kWWEe0,d8eA6kWWEe0,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/020-aUsHwEWIaNA,aUsHwEWIaNA,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/021-1zNx3QyQ-9M,1zNx3QyQ-9M,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/001-5gtR7IjtcFE,5gtR7IjtcFE,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/002-8OH72JS7FZg,8OH72JS7FZg,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_02_customer_evidence.md,customer evidence;decision roles;reorder;channel;segmentation,"Clinician approval did not represent patient demand; one successful reconstruction is not a universal launch method.",5;6;8;9,integrate-evidence-ladder,"Use the Regain failure and reorder/channel reconstruction to distinguish opinion from observed behavior.",2026-08-25
mit-nuts-and-bolts-of-new-ventures/003-wzC4PddpFnA,wzC4PddpFnA,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,business model;channel;cost structure;adaptation;coupled system,A business-model lecture supplies operating structure but does not validate the economics of a particular venture.,9;11;12,integrate-coupled-business-model,Use create-deliver-capture and the direct-distributor-OEM sequence to show that channel cost and capacity must move together.,2026-08-25
mit-nuts-and-bolts-of-new-ventures/004-OAEGRRcwt9M,OAEGRRcwt9M,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_04_ownership_and_control.md,licensing;equity;vesting;dilution;founder allocation;liability,"The legal tax and market examples are historical United States-specific classroom material and not current professional advice.",10;14;20,integrate-rights-mechanics,"Use the separation among license duties equity vesting dilution liability and founder contribution while keeping all numerical terms conditional.",2026-08-25
mit-nuts-and-bolts-of-new-ventures/005-ZcH04FusUbU,ZcH04FusUbU,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/006--Op1GLwFuV4,-Op1GLwFuV4,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/007-41xcHr9jkV8,41xcHr9jkV8,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/008-YweBomE2cr4,YweBomE2cr4,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,cash timing;bottom-up forecast;gross margin;capacity;burn;buffer,Projection figures are classroom examples and forecasts are decision models rather than promises.,8;9;11;12,integrate-cash-mechanics,Use linked operating assumptions and period-by-period cash recurrence while keeping every heuristic and example conditional.,2026-08-25
mit-nuts-and-bolts-of-new-ventures/009-p-f5S31pjTA,p-f5S31pjTA,inventory-verified,,,,,pending-substantive-read,,
mit-nuts-and-bolts-of-new-ventures/010-DjytFelLAiM,DjytFelLAiM,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,growth;cash exhaustion;deposits;funding mix;venture capital,Deposits and strategic capital shift risk rather than remove it and venture capital can be either necessary or distorting.,11;12;14;15,integrate-capital-boundaries,Use the warning that growth can exhaust cash and distinguish capital sources by timing control and downside.,2026-08-25
mit-nuts-and-bolts-of-new-ventures/011--U3-idg31L4,-U3-idg31L4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/001-EF6-Ed2H2cE,EF6-Ed2H2cE,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/002-9YldQVM4u-I,9YldQVM4u-I,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/003-QJP9OXmI5_4,QJP9OXmI5_4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/004-22CjsRG0sTc,22CjsRG0sTc,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/005-0I0EPRu3DJ0,0I0EPRu3DJ0,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/006-d4Yuq3iP5eI,d4Yuq3iP5eI,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,working capital;factoring;retained earnings;bankability,Duplicate playlist record of hard-knocks-interviews/068 and not independent corroboration.,12,retain-as-duplicate,Count the canonical close read once.,2026-08-25
school-of-hard-knocks/10-questions-with-a-millionaire/007-prPvzJwgHqg,prPvzJwgHqg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/008-V6I3R5Z-YZI,V6I3R5Z-YZI,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/009-3K43YBxUp0I,3K43YBxUp0I,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/010-yOSsd1Tpno4,yOSsd1Tpno4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/011-7Cxfg0N_MUw,7Cxfg0N_MUw,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/012-bmQRL82f-5I,bmQRL82f-5I,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/013-oRqUthcMi6I,oRqUthcMi6I,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/014-lAOliWexJgo,lAOliWexJgo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/015-uf0Or7n8_bU,uf0Or7n8_bU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/016-MQv7Te8VmYI,MQv7Te8VmYI,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,expense multiplication;frugality;growth pacing;ownership,Duplicate playlist record of hard-knocks-interviews/132 and not independent corroboration.,11;12;15,retain-as-duplicate,Count the canonical close read once.,2026-08-25
school-of-hard-knocks/10-questions-with-a-millionaire/017-TpVlJpiV6U8,TpVlJpiV6U8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/018-pTifbfUnsH8,pTifbfUnsH8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/019-cttsP_8MjEo,cttsP_8MjEo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/020-AvKXrCCUEMI,AvKXrCCUEMI,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/021-VNtZfU84euk,VNtZfU84euk,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/10-questions-with-a-millionaire/022-vzDYSrzISzo,vzDYSrzISzo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/001-4uFVDpGTHPQ,4uFVDpGTHPQ,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/002-mRJN1l_w-Co,mRJN1l_w-Co,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/003-npnyOvchXZs,npnyOvchXZs,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/004-dK5bG5ZE3yI,dK5bG5ZE3yI,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/005-lU-bh2xPl4Y,lU-bh2xPl4Y,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/006-uwh4gWNgb1w,uwh4gWNgb1w,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/007-AUaEd3_JbP8,AUaEd3_JbP8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/008-DmDeNuTUetE,DmDeNuTUetE,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/009-E_9nX5ReMcY,E_9nX5ReMcY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/010-yUCRSAWh_ls,yUCRSAWh_ls,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/011-z810EM7Q5Mg,z810EM7Q5Mg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/012-wOsnxJCy2p8,wOsnxJCy2p8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/013-hJYkUMV8I_s,hJYkUMV8I_s,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/014-ZdUmqGB-XpA,ZdUmqGB-XpA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/016-AATw4YRFSw8,AATw4YRFSw8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/019-aGrMOowjMag,aGrMOowjMag,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/020-t8FXPpfkxQY,t8FXPpfkxQY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/021-2Q2JgVDvHV0,2Q2JgVDvHV0,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/022-nOL-StM6QnU,nOL-StM6QnU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/023-zN087p7dHN0,zN087p7dHN0,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/024-7i0D5OMZzw0,7i0D5OMZzw0,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/025-vMcZyzTNoIc,vMcZyzTNoIc,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/026-lXitjVjEhEs,lXitjVjEhEs,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/027-cTs9SgRk4SI,cTs9SgRk4SI,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/028-n5EmUiLNVjg,n5EmUiLNVjg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/029-iRgdOE8Fags,iRgdOE8Fags,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/030-gBBlX7v0910,gBBlX7v0910,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_04_ownership_and_control.md,creator rights;master ownership;recoupment;debt;vertical integration;control,"Duplicate playlist record of hard-knocks-interviews/031 and not independent corroboration.",12;14,retain-as-duplicate,"Count the canonical close read once.",2026-08-25
school-of-hard-knocks/entrepreneurship/031-TllMBc9YvKk,TllMBc9YvKk,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/032-9QTBl0R_cs8,9QTBl0R_cs8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/033-EF6-Ed2H2cE,EF6-Ed2H2cE,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/034-7Yx6-8nMbkc,7Yx6-8nMbkc,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/035-9iWLPlPFdBY,9iWLPlPFdBY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/036-eEg5ZjFxMmU,eEg5ZjFxMmU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/037-uUwf3HM_bBg,uUwf3HM_bBg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/038-4fOaAGCuuJU,4fOaAGCuuJU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/039-q8u9vs2xjg4,q8u9vs2xjg4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/040-gotxAQD0YkE,gotxAQD0YkE,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,staged growth;retained profit;capacity;control,Duplicate playlist record of hard-knocks-interviews/041 and not independent corroboration.,11;12,retain-as-duplicate,Count the canonical close read once.,2026-08-25
school-of-hard-knocks/entrepreneurship/041-9YldQVM4u-I,9YldQVM4u-I,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/042-uMXIsDecZ3s,uMXIsDecZ3s,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/043-DwrRvp_qsRk,DwrRvp_qsRk,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/044-8wU_31Wamcw,8wU_31Wamcw,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/045-GCXhTFKVHkg,GCXhTFKVHkg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/046-bfIJxp9ckKU,bfIJxp9ckKU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/047-nswPe9PAgjo,nswPe9PAgjo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/048-_sAyC_CLqzg,_sAyC_CLqzg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/049-gZ0RTpQZf8A,gZ0RTpQZf8A,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/050-5E-lydM23gU,5E-lydM23gU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/051-vUumRjZX0n8,vUumRjZX0n8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/052-QJP9OXmI5_4,QJP9OXmI5_4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/053-Latp0XujNXk,Latp0XujNXk,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/054-bPPc2coTClU,bPPc2coTClU,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/055-22CjsRG0sTc,22CjsRG0sTc,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/056-0I0EPRu3DJ0,0I0EPRu3DJ0,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/057-qQIKf7YQBbA,qQIKf7YQBbA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/058-ZX_BJKKyDXo,ZX_BJKKyDXo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/059-JKkwS6FT7wY,JKkwS6FT7wY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/060-JMIE80d0Aoo,JMIE80d0Aoo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/061-G_GZbtj0uP8,G_GZbtj0uP8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/062-HEgFl6N2u4M,HEgFl6N2u4M,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/063-oDJEZ-n9TCM,oDJEZ-n9TCM,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/064-D0utmFm1l0o,D0utmFm1l0o,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,purchase order;capacity;working capital;retailer concentration,Duplicate playlist record of hard-knocks-interviews/065 and not independent corroboration.,11;12,retain-as-duplicate,Count the canonical close read once.,2026-08-25
school-of-hard-knocks/entrepreneurship/065-PWVoNu4ytEA,PWVoNu4ytEA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/066-IUIG4YG0T-Q,IUIG4YG0T-Q,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/067-d4Yuq3iP5eI,d4Yuq3iP5eI,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_03_growth_and_cash.md,working capital;factoring;retained earnings;bankability,Duplicate playlist record of hard-knocks-interviews/068 and not independent corroboration.,12,retain-as-duplicate,Count the canonical close read once.,2026-08-25
school-of-hard-knocks/entrepreneurship/068-O5R1z_gPCSo,O5R1z_gPCSo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/069-OtWKuR2hU68,OtWKuR2hU68,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/070-JsEUa3mMGe0,JsEUa3mMGe0,duplicate-covered-by-canonical-record,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_04_ownership_and_control.md,growth capital;equity;investor control;focus;survival boundary,"Duplicate playlist record of hard-knocks-interviews/071 and not independent corroboration.",12;14;21,retain-as-duplicate,"Count the canonical close read once.",2026-08-25
school-of-hard-knocks/entrepreneurship/071-9aBfrKtWJc8,9aBfrKtWJc8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/072-PN9Z4QH8X2w,PN9Z4QH8X2w,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/073-6lmwLam3f4k,6lmwLam3f4k,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/074-90A-xjDipk4,90A-xjDipk4,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/075-sExOe8q1QBc,sExOe8q1QBc,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/076-n7FLA5IZkWA,n7FLA5IZkWA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/077-9FZ7chhIfUM,9FZ7chhIfUM,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/078-2tRPK9s4p5k,2tRPK9s4p5k,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/079-PFvRtVvP-Bo,PFvRtVvP-Bo,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/080-n3_QuKa208w,n3_QuKa208w,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/081-6WweLDK6oiY,6WweLDK6oiY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/082-ZFkKWGnm1PA,ZFkKWGnm1PA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/083-ts5-LCzCUuE,ts5-LCzCUuE,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/084-hRFCQAIa0gA,hRFCQAIa0gA,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/086-eSkosEaDnDw,eSkosEaDnDw,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/087-exeXKslPiDI,exeXKslPiDI,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/088-BaxpJArMn9Y,BaxpJArMn9Y,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/089-prPvzJwgHqg,prPvzJwgHqg,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/090-nReWQdfRSC8,nReWQdfRSC8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/091-kJ7HiO27n1g,kJ7HiO27n1g,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/092-_5yi6XW4Av8,_5yi6XW4Av8,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/093-YU_58awAISY,YU_58awAISY,inventory-verified,,,,,pending-substantive-read,,
school-of-hard-knocks/entrepreneurship/094-xe3GmH-mBQI,xe3GmH-mBQI,inventory-verified,,,,,pending-substantive-read,,
