source_id,title,youtube_id,transcript_rel,subtitle_rel,chapter_rel,video_rel,video_exists,transcript_words,transcript_sha256,last_timestamp,analysis_exists,narrative_map_exists,visual_notes_exists,figure_notes_exists,memory_fragment_exists,existing_book_mentions
11,Asking One of the Richest Men in Dubai How He Got Rich!,yUCRSAWh_ls,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/011 - Asking One of the Richest Men in Dubai How He Got Rich! [yUCRSAWh_ls].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/011 - Asking One of the Richest Men in Dubai How He Got Rich! [yUCRSAWh_ls].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_11,lazyearn/school-of-hard-knocks/hard-knocks-interviews/011 - Asking One of the Richest Men in Dubai How He Got Rich! [yUCRSAWh_ls].webm,yes,4042,b0758fcb64af5073331286ba827645a096c4b11cba27937f0fd1ff0a131d60e6,"00:16:54,560",yes,yes,yes,yes,no,4
12,Asking Wealthy Americans How They Got So Rich! (Scottsdale),z810EM7Q5Mg,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/012 - Asking Wealthy Americans How They Got So Rich! (Scottsdale) [z810EM7Q5Mg].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/012 - Asking Wealthy Americans How They Got So Rich! (Scottsdale) [z810EM7Q5Mg].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_12,lazyearn/school-of-hard-knocks/hard-knocks-interviews/012 - Asking Wealthy Americans How They Got So Rich! (Scottsdale) [z810EM7Q5Mg].webm,yes,5920,ef99c79ffed09fc6e547efa3e91af628389a7ab4df78ccd95ee671a41af28799,"00:22:26,860",yes,yes,yes,yes,no,17
13,Asking Millionaires How They Got Rich! (Silicon Valley),wOsnxJCy2p8,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/013 - Asking Millionaires How They Got Rich! (Silicon Valley) [wOsnxJCy2p8].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/013 - Asking Millionaires How They Got Rich! (Silicon Valley) [wOsnxJCy2p8].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_13,lazyearn/school-of-hard-knocks/hard-knocks-interviews/013 - Asking Millionaires How They Got Rich! (Silicon Valley) [wOsnxJCy2p8].webm,yes,5139,11d4ab9028cd0143d49a00619c82934fcbd4f4018a6a511a57427b17dce3a0c7,"00:19:32,420",yes,yes,yes,yes,no,9
14,Asking Millionaires How They Got RICH! (Philadelphia),hJYkUMV8I_s,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/014 - Asking Millionaires How They Got RICH! (Philadelphia) [hJYkUMV8I_s].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/014 - Asking Millionaires How They Got RICH! (Philadelphia) [hJYkUMV8I_s].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_14,lazyearn/school-of-hard-knocks/hard-knocks-interviews/014 - Asking Millionaires How They Got RICH! (Philadelphia) [hJYkUMV8I_s].webm,yes,5309,563766f27bd70a517e634c10e7e58d664f55b07823615b21bdbcbac821fabb92,"00:20:56,639",yes,yes,yes,yes,no,22
15,I Asked Dana White How He Made $500 Million!,ZdUmqGB-XpA,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/015 - I Asked Dana White How He Made $500 Million! [ZdUmqGB-XpA].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/015 - I Asked Dana White How He Made $500 Million! [ZdUmqGB-XpA].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_15,lazyearn/school-of-hard-knocks/hard-knocks-interviews/015 - I Asked Dana White How He Made $500 Million! [ZdUmqGB-XpA].webm,yes,5935,9f0072eb214be9e9d7e74941497cd1b21817d111e881b4f06a6a9783562d6615,"00:23:35,179",yes,yes,yes,yes,no,45
17,Asking Wall Street Moguls How They Got Rich!,AATw4YRFSw8,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/017 - Asking Wall Street Moguls How They Got Rich! [AATw4YRFSw8].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/017 - Asking Wall Street Moguls How They Got Rich! [AATw4YRFSw8].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_17,lazyearn/school-of-hard-knocks/hard-knocks-interviews/017 - Asking Wall Street Moguls How They Got Rich! [AATw4YRFSw8].webm,yes,5269,c51ab599ceb193b8d87587760a7645591c7fe347a53576a778ed3d0ee748a4f9,"00:20:42,620",yes,yes,yes,yes,no,41
20,I Interviewed 30 Billionaires... Here’s What I Learned,aGrMOowjMag,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/020 - I Interviewed 30 Billionaires... Here’s What I Learned [aGrMOowjMag].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/020 - I Interviewed 30 Billionaires... Here’s What I Learned [aGrMOowjMag].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_20,lazyearn/school-of-hard-knocks/hard-knocks-interviews/020 - I Interviewed 30 Billionaires... Here’s What I Learned [aGrMOowjMag].webm,yes,6109,7dcc1c035ef0889d731c019de546d8ad1b8a858ab369eec491119482ef31a608,"00:24:41,400",yes,yes,yes,yes,no,72
21,A 60 Year Old Millionaire Shares What Actually Made Him RICH!,t8FXPpfkxQY,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/021 - A 60 Year Old Millionaire Shares What Actually Made Him RICH! [t8FXPpfkxQY].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/021 - A 60 Year Old Millionaire Shares What Actually Made Him RICH! [t8FXPpfkxQY].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_21,lazyearn/school-of-hard-knocks/hard-knocks-interviews/021 - A 60 Year Old Millionaire Shares What Actually Made Him RICH! [t8FXPpfkxQY].webm,yes,4889,d6d9488e1c05654ea24f10cb1fbf1d685ed7d46987590ffbdad4f3ffb9af80f1,"00:18:58,760",yes,yes,yes,yes,no,10
22,Asking Billionaire Women How They Got RICH!,2Q2JgVDvHV0,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/022 - Asking Billionaire Women How They Got RICH! [2Q2JgVDvHV0].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/022 - Asking Billionaire Women How They Got RICH! [2Q2JgVDvHV0].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_22,lazyearn/school-of-hard-knocks/hard-knocks-interviews/022 - Asking Billionaire Women How They Got RICH! [2Q2JgVDvHV0].webm,yes,5655,ca0fa2a250e1a266b6b8d57779dd4d63c17442f5e3d39ecbb8d5dedfd6798d78,"00:23:03,040",yes,yes,yes,yes,no,15
23,Asking Millionaires How They Got RICH! (Chicago),nOL-StM6QnU,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/023 - Asking Millionaires How They Got RICH! (Chicago) [nOL-StM6QnU].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/023 - Asking Millionaires How They Got RICH! (Chicago) [nOL-StM6QnU].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_23,lazyearn/school-of-hard-knocks/hard-knocks-interviews/023 - Asking Millionaires How They Got RICH! (Chicago) [nOL-StM6QnU].webm,yes,4690,e689ed1986548008bb21d4b36f7d6194e3c9fcfaa6349f8544eac5802eeb4a9b,"00:17:40,260",yes,yes,yes,yes,yes,11
24,Asking Billionaires How They Got RICH! (Florida),zN087p7dHN0,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/024 - Asking Billionaires How They Got RICH! (Florida) [zN087p7dHN0].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/024 - Asking Billionaires How They Got RICH! (Florida) [zN087p7dHN0].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_24,lazyearn/school-of-hard-knocks/hard-knocks-interviews/024 - Asking Billionaires How They Got RICH! (Florida) [zN087p7dHN0].webm,yes,5342,5597a0635b7732ce4fc5aefc7464c2fc9015285ab9d02933e3e0bba7325797ac,"00:20:00,480",yes,yes,yes,yes,yes,9
25,I Investigated the $1 Trillion Industry Nobody Talks About,7i0D5OMZzw0,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/025 - I Investigated the $1 Trillion Industry Nobody Talks About [7i0D5OMZzw0].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/025 - I Investigated the $1 Trillion Industry Nobody Talks About [7i0D5OMZzw0].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_25,lazyearn/school-of-hard-knocks/hard-knocks-interviews/025 - I Investigated the $1 Trillion Industry Nobody Talks About [7i0D5OMZzw0].webm,yes,4718,f09bc5817312642f6496f39cdacf4dc5167535152f848b58d13554c40158708a,"00:19:17,460",yes,yes,yes,yes,yes,13
26,I Asked Tom Cruise How He Made $600 Million,vMcZyzTNoIc,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/026 - I Asked Tom Cruise How He Made $600 Million [vMcZyzTNoIc].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/026 - I Asked Tom Cruise How He Made $600 Million [vMcZyzTNoIc].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_26,lazyearn/school-of-hard-knocks/hard-knocks-interviews/026 - I Asked Tom Cruise How He Made $600 Million [vMcZyzTNoIc].webm,yes,4960,00d8bb89356ef34b961ff5cbab810e1dc4db833d7d5ee65e8d2d39b4cf5e295e,"00:19:59,480",yes,yes,yes,yes,yes,12
27,Asking Billionaires How They Got RICH! (Boston),lXitjVjEhEs,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/027 - Asking Billionaires How They Got RICH! (Boston) [lXitjVjEhEs].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/027 - Asking Billionaires How They Got RICH! (Boston) [lXitjVjEhEs].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_27,lazyearn/school-of-hard-knocks/hard-knocks-interviews/027 - Asking Billionaires How They Got RICH! (Boston) [lXitjVjEhEs].webm,yes,5123,e6a7317db643d5cb7700501f9f50dd7fdf7b04f0ed2f8fa1b6c7749bc155ba39,"00:21:18,060",yes,yes,yes,yes,yes,11
28,I Was the 199th Pick... Now I'm Worth $300M (Tom Brady),cTs9SgRk4SI,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/028 - I Was the 199th Pick... Now I'm Worth $300M (Tom Brady) [cTs9SgRk4SI].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/028 - I Was the 199th Pick... Now I'm Worth $300M (Tom Brady) [cTs9SgRk4SI].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_28,lazyearn/school-of-hard-knocks/hard-knocks-interviews/028 - I Was the 199th Pick... Now I'm Worth $300M (Tom Brady) [cTs9SgRk4SI].webm,yes,2750,b6a319945f47c19ad309e1632aad30d69f1c2af7991f1401d4063f15c004e980,"00:10:48,459",yes,yes,yes,yes,yes,12
29,"How I Turned $50,000 Into $20 Billion",n5EmUiLNVjg,"markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/029 - How I Turned $50,000 Into $20 Billion [n5EmUiLNVjg].md","subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/029 - How I Turned $50,000 Into $20 Billion [n5EmUiLNVjg].srt",generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_29,"lazyearn/school-of-hard-knocks/hard-knocks-interviews/029 - How I Turned $50,000 Into $20 Billion [n5EmUiLNVjg].webm",yes,4268,eca56b0f66435a3120fdcf1dd36b4bb75cc9f34932dcb98c3b328c02bd96725e,"00:16:30,336",yes,yes,yes,yes,yes,10
30,I Asked Adin Ross How He Made $100 Million,iRgdOE8Fags,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/030 - I Asked Adin Ross How He Made $100 Million [iRgdOE8Fags].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/030 - I Asked Adin Ross How He Made $100 Million [iRgdOE8Fags].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_30,lazyearn/school-of-hard-knocks/hard-knocks-interviews/030 - I Asked Adin Ross How He Made $100 Million [iRgdOE8Fags].webm,yes,5667,3ae94b024335f1d9b78fda122a0963ba506a8b15809ec266e916f2c4f67ffb77,"00:20:16,160",yes,yes,yes,yes,yes,16
31,Asking the RICHEST People in the World How They Got RICH!,gBBlX7v0910,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/031 - Asking the RICHEST People in the World How They Got RICH! [gBBlX7v0910].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/031 - Asking the RICHEST People in the World How They Got RICH! [gBBlX7v0910].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_31,lazyearn/school-of-hard-knocks/hard-knocks-interviews/031 - Asking the RICHEST People in the World How They Got RICH! [gBBlX7v0910].webm,yes,8266,50b9e7ceeab56a4e3e23034cd06d49fe015b8e8d44927ab24c1f859d4f5c6e86,"00:31:01,560",yes,yes,yes,yes,yes,17
32,Asking Wealthy Americans How They Got Rich!,TllMBc9YvKk,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/032 - Asking Wealthy Americans How They Got Rich! [TllMBc9YvKk].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/032 - Asking Wealthy Americans How They Got Rich! [TllMBc9YvKk].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_32,lazyearn/school-of-hard-knocks/hard-knocks-interviews/032 - Asking Wealthy Americans How They Got Rich! [TllMBc9YvKk].webm,yes,6644,d6728905ab77aa5fb4062128bd0297b4ac5b9c247cd64d4b276dc8542d5b2a6e,"00:24:53,380",yes,yes,yes,yes,yes,11
33,I Asked Robert Herjavec How He Made $500 Million,9QTBl0R_cs8,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/033 - I Asked Robert Herjavec How He Made $500 Million [9QTBl0R_cs8].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/033 - I Asked Robert Herjavec How He Made $500 Million [9QTBl0R_cs8].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_33,lazyearn/school-of-hard-knocks/hard-knocks-interviews/033 - I Asked Robert Herjavec How He Made $500 Million [9QTBl0R_cs8].webm,yes,5531,e52c92074f22c1026fc8e05fccc8b15351316ef4330e9cac168dc879eeb75921,"00:21:13,340",yes,yes,yes,yes,yes,11
34,"Asking A Billionaire Lawyer How To Make $1,000,000!",EF6-Ed2H2cE,"markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/034 - Asking A Billionaire Lawyer How To Make $1,000,000! [EF6-Ed2H2cE].md","subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/034 - Asking A Billionaire Lawyer How To Make $1,000,000! [EF6-Ed2H2cE].srt",generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_34,"lazyearn/school-of-hard-knocks/hard-knocks-interviews/034 - Asking A Billionaire Lawyer How To Make $1,000,000! [EF6-Ed2H2cE].webm",yes,4645,40168cc168fb8f88585a7fdd71c70cc75d03cbfdb111cb813c1ca20250dc3cd1,"00:19:13,680",yes,yes,yes,yes,yes,13
35,Asking Millionaire Homeowners How They Got Rich,7Yx6-8nMbkc,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/035 - Asking Millionaire Homeowners How They Got Rich [7Yx6-8nMbkc].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/035 - Asking Millionaire Homeowners How They Got Rich [7Yx6-8nMbkc].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_35,lazyearn/school-of-hard-knocks/hard-knocks-interviews/035 - Asking Millionaire Homeowners How They Got Rich [7Yx6-8nMbkc].webm,yes,7627,b97d9d8241340ebb6bcf198e8a04df7d715b3e59509c8d91e1ebdfbc3e2c00c9,"00:29:36,540",yes,yes,yes,yes,yes,14
36,I Asked Will Smith How He Made $350 Million,9iWLPlPFdBY,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/036 - I Asked Will Smith How He Made $350 Million [9iWLPlPFdBY].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/036 - I Asked Will Smith How He Made $350 Million [9iWLPlPFdBY].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_36,lazyearn/school-of-hard-knocks/hard-knocks-interviews/036 - I Asked Will Smith How He Made $350 Million [9iWLPlPFdBY].webm,yes,3608,9ec435202ec645d7c2ef19859d4ef93a95b8cc2d5a8dd27bf828ea7e226d89e1,"00:17:02,020",yes,yes,yes,yes,yes,10
37,Asking Politicians How They Actually Got Rich!,eEg5ZjFxMmU,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/037 - Asking Politicians How They Actually Got Rich! [eEg5ZjFxMmU].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/037 - Asking Politicians How They Actually Got Rich! [eEg5ZjFxMmU].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_37,lazyearn/school-of-hard-knocks/hard-knocks-interviews/037 - Asking Politicians How They Actually Got Rich! [eEg5ZjFxMmU].webm,yes,6147,1faf19e1c59bca4b2bccd7cd4d2df6b71404a7b5152831aaed7ce36ba5351643,"00:23:16,796",yes,yes,yes,yes,yes,12
38,Asking Beverly Hills Billionaires How They Got So RICH!,uUwf3HM_bBg,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/038 - Asking Beverly Hills Billionaires How They Got So RICH! [uUwf3HM_bBg].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/038 - Asking Beverly Hills Billionaires How They Got So RICH! [uUwf3HM_bBg].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_38,lazyearn/school-of-hard-knocks/hard-knocks-interviews/038 - Asking Beverly Hills Billionaires How They Got So RICH! [uUwf3HM_bBg].webm,yes,6095,6f2df350b23bf05e742c6f5dada729b61c6a1754c3a1fc7cbf6e649cb9b4cb03,"00:22:50,140",yes,yes,yes,yes,yes,14
39,I Had $78... Now I’m Worth $100 Million,4fOaAGCuuJU,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/039 - I Had $78... Now I’m Worth $100 Million [4fOaAGCuuJU].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/039 - I Had $78... Now I’m Worth $100 Million [4fOaAGCuuJU].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_39,lazyearn/school-of-hard-knocks/hard-knocks-interviews/039 - I Had $78... Now I’m Worth $100 Million [4fOaAGCuuJU].webm,yes,6000,28cef0647e7c6f53d47e9844826a16e4b4eb6049ab1f48dea886dd33abcb14f2,"00:22:38,240",yes,yes,yes,yes,yes,14
40,Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B),q8u9vs2xjg4,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/040 - Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B) [q8u9vs2xjg4].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/040 - Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B) [q8u9vs2xjg4].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_40,lazyearn/school-of-hard-knocks/hard-knocks-interviews/040 - Meet the Billionaire Who Created LinkedIn (Then Sold It for $26B) [q8u9vs2xjg4].webm,yes,4243,82c248aded55fbb23a740478c278de022c7e8cc48754c5a1e627f6eb489ffe60,"00:16:11,300",yes,yes,yes,yes,yes,15
